wavelength	flux	var	error
4.642000e+03	2.058386e-19	5.730950e-40	2.393940e-20
4.643000e+03	2.300424e-19	5.761606e-40	2.400335e-20
4.644000e+03	2.011439e-19	5.709610e-40	2.389479e-20
4.645000e+03	1.669516e-19	7.342544e-40	2.709713e-20
4.646000e+03	1.958406e-19	8.179870e-40	2.860047e-20
4.647000e+03	2.028318e-19	8.420124e-40	2.901745e-20
4.648000e+03	2.116634e-19	8.499528e-40	2.915395e-20
4.649000e+03	2.000162e-19	8.292289e-40	2.879633e-20
4.650000e+03	1.613858e-19	7.831226e-40	2.798433e-20
4.651000e+03	1.873804e-19	6.193619e-40	2.488698e-20
4.652000e+03	2.008534e-19	6.032992e-40	2.456215e-20
4.653000e+03	2.165235e-19	6.345106e-40	2.518949e-20
4.654000e+03	2.095855e-19	6.464434e-40	2.542525e-20
4.655000e+03	1.992422e-19	6.349904e-40	2.519901e-20
4.656000e+03	2.100776e-19	6.545978e-40	2.558511e-20
4.657000e+03	2.390101e-19	6.730815e-40	2.594381e-20
4.658000e+03	2.195263e-19	6.617147e-40	2.572382e-20
4.659000e+03	2.026505e-19	6.605617e-40	2.570139e-20
4.660000e+03	2.313569e-19	6.511450e-40	2.551754e-20
4.661000e+03	2.367253e-19	6.181802e-40	2.486323e-20
4.662000e+03	1.954081e-19	5.930315e-40	2.435224e-20
4.663000e+03	2.077045e-19	5.941801e-40	2.437581e-20
4.664000e+03	2.242359e-19	5.962353e-40	2.441793e-20
4.665000e+03	2.257151e-19	5.953983e-40	2.440078e-20
4.666000e+03	2.067696e-19	5.897224e-40	2.428420e-20
4.667000e+03	2.101973e-19	5.789812e-40	2.406203e-20
4.668000e+03	2.041005e-19	5.809436e-40	2.410277e-20
4.669000e+03	2.085028e-19	5.742595e-40	2.396371e-20
4.670000e+03	2.187471e-19	5.748564e-40	2.397616e-20
4.671000e+03	2.299188e-19	5.839590e-40	2.416524e-20
4.672000e+03	2.227257e-19	5.770675e-40	2.402223e-20
4.673000e+03	1.997242e-19	5.871537e-40	2.423125e-20
4.674000e+03	1.887315e-19	6.062236e-40	2.462161e-20
4.675000e+03	1.825068e-19	6.180143e-40	2.485989e-20
4.676000e+03	2.176597e-19	6.417465e-40	2.533272e-20
4.677000e+03	1.975812e-19	6.281563e-40	2.506305e-20
4.678000e+03	1.875368e-19	6.067960e-40	2.463323e-20
4.679000e+03	2.058182e-19	5.919993e-40	2.433104e-20
4.680000e+03	1.846014e-19	5.703980e-40	2.388301e-20
4.681000e+03	1.965436e-19	5.635037e-40	2.373823e-20
4.682000e+03	2.095610e-19	5.632902e-40	2.373374e-20
4.683000e+03	2.042464e-19	5.639405e-40	2.374743e-20
4.684000e+03	1.815292e-19	5.661042e-40	2.379295e-20
4.685000e+03	2.189179e-19	5.860285e-40	2.420803e-20
4.686000e+03	1.989685e-19	6.217644e-40	2.493520e-20
4.687000e+03	1.969379e-19	6.503100e-40	2.550118e-20
4.688000e+03	1.769160e-19	6.753538e-40	2.598757e-20
4.689000e+03	1.761108e-19	7.605847e-40	2.757870e-20
4.690000e+03	2.075840e-19	8.129694e-40	2.851262e-20
4.691000e+03	2.223069e-19	8.557227e-40	2.925274e-20
4.692000e+03	2.152778e-19	1.775043e-39	4.213126e-20
